source_type,source_name,RA,DEC,z_hetdex,z_hetdex_conf
lae,HETDEX J022315.76-005405.2,35.815685,-0.901441,2.8360054,0.95
lae,HETDEX J013550.59-005402.2,23.960804,-0.9006051,2.6363728,0.95
lae,HETDEX J021819.23-005358.0,34.58014,-0.899437,3.3048005,0.82811075
lae,HETDEX J015509.33-005356.6,28.788883,-0.899046,2.841124,0.8755823
lae,HETDEX J012820.29-005355.2,22.08455,-0.898676,2.63179,0.95
lae,HETDEX J020933.63-005353.2,32.390118,-0.898108,2.4962382,0.95
lae,HETDEX J021654.33-005353.2,34.226383,-0.898098,3.3598309,0.49104366
lae,HETDEX J020948.91-005351.7,32.453777,-0.897692,2.0381753,0.95
lae,HETDEX J015818.11-005349.0,29.575474,-0.896931,2.8766782,0.95
lae,HETDEX J012748.66-005348.0,21.952763,-0.896676,3.2418795,0.9415679
lae,HETDEX J015959.02-005348.0,29.995916,-0.896673,2.85103,0.80861974
lae,HETDEX J020944.71-005347.3,32.43628,-0.896468,1.9551368,0.95
lae,HETDEX J010308.55-005345.6,15.785642,-0.89599705,2.8193026,0.48629415
lae,HETDEX J022245.93-005345.1,35.69137,-0.895864,2.8280036,0.8808519
lae,HETDEX J015711.64-005343.3,29.298498,-0.89536196,3.0773969,0.95
lae,HETDEX J020958.59-005343.0,32.494106,-0.8952681,2.1268096,0.95
lae,HETDEX J013632.18-005341.8,24.134083,-0.89495,2.5281882,0.95
lae,HETDEX J015724.74-005339.4,29.353071,-0.894286,2.536672,0.95
lae,HETDEX J013543.45-005337.4,23.931034,-0.893715,2.5919495,0.95
lae,HETDEX J020941.76-005337.2,32.424007,-0.89366907,3.1348133,0.95
lae,HETDEX J013558.20-005336.3,23.992514,-0.8934231,2.787961,0.95
lae,HETDEX J013543.96-005334.0,23.933187,-0.89277804,2.5922947,0.95
lae,HETDEX J022322.31-005329.0,35.842968,-0.89139205,2.6096396,0.7614177
lae,HETDEX J021756.86-005328.6,34.486923,-0.891273,2.2699552,0.95
lae,HETDEX J015747.40-005328.4,29.447517,-0.891226,3.1701212,0.9024787
lae,HETDEX J015649.27-005327.8,29.205296,-0.891051,2.2566257,0.95
lae,HETDEX J015818.65-005326.1,29.577723,-0.89058095,3.2691722,0.95
lae,HETDEX J022224.86-005320.8,35.6036,-0.889099,3.0322657,0.95
lae,HETDEX J013543.13-005318.0,23.92969,-0.888336,2.591784,0.95
agn,HETDEX J013653.99-005317.5,24.224949,-0.88819855,2.49,1.0
agn,HETDEX J013653.99-005317.5,24.224949,-0.88819855,2.49,1.0
lae,HETDEX J022433.53-005317.0,36.139694,-0.888069,2.5399878,0.95
lae,HETDEX J022431.54-005315.3,36.13142,-0.88757795,3.112729,0.95
lae,HETDEX J003743.90-005314.7,9.432931,-0.887406,2.7432575,0.95
lae,HETDEX J014159.42-005314.4,25.497593,-0.887326,2.513106,0.31668445
lae,HETDEX J014143.29-005312.5,25.430395,-0.886807,2.0355341,0.95
lae,HETDEX J022255.15-005311.8,35.729797,-0.886609,2.018173,0.95
lae,HETDEX J021250.01-005310.5,33.20836,-0.88624096,2.211666,0.95
lae,HETDEX J021007.69-005310.3,32.53206,-0.886185,2.464568,0.95
lae,HETDEX J013707.77-005308.3,24.282366,-0.88563603,2.5202568,0.95
lae,HETDEX J022532.00-005307.5,36.383324,-0.885407,3.0906854,0.95
lae,HETDEX J020942.75-005307.3,32.428112,-0.8853731,2.1981807,0.95
lae,HETDEX J015802.62-005307.2,29.51091,-0.88532394,3.1410336,0.95
lae,HETDEX J022201.18-005305.7,35.504906,-0.884923,1.9688945,0.95
lae,HETDEX J022254.47-005304.5,35.726955,-0.884572,3.4317207,0.95
lae,HETDEX J015434.82-005303.6,28.645077,-0.884332,2.799653,0.95
lae,HETDEX J021757.51-005302.3,34.489635,-0.883968,2.0309017,0.95
lae,HETDEX J010248.15-005302.1,15.700631,-0.883912,2.2364993,0.95
